site,start_date,end_date,name_dt,name_local,long_name_local,units_local,type,time_char_format,horizontal_id,vertical_id,replicate_id,sensor_make,sensor_model,range_min,range_max,diff_ref_max,imputation_method,name_era5,long_name_era5,units_era5,name_icos,long_name_icos,units_icos,statistic
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_11_2_1,SWC_11_2_1,Soil water content,%,soil moisture,,11,2,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_11_3_1,SWC_11_3_1,Soil water content,%,soil moisture,,11,3,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_11_4_1,SWC_11_4_1,Soil water content,%,soil moisture,,11,4,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_4_1_1,SWC_4_1_1,Soil water content,%,soil moisture,,4,1,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_4_2_1,SWC_4_2_1,Soil water content,%,soil moisture,,4,2,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_4_3_1,SWC_4_3_1,Soil water content,%,soil moisture,,4,3,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_4_4_1,SWC_4_4_1,Soil water content,%,soil moisture,,4,4,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_8_1_1,SWC_8_1_1,Soil water content,%,soil moisture,,8,1,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_8_2_1,SWC_8_2_1,Soil water content,%,soil moisture,,8,2,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_8_3_1,SWC_8_3_1,Soil water content,%,soil moisture,,8,3,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_8_4_1,SWC_8_4_1,Soil water content,%,soil moisture,,8,4,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_9_1_1,SWC_9_1_1,Soil water content,%,soil moisture,,9,1,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_9_2_1,SWC_9_2_1,Soil water content,%,soil moisture,,9,2,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_9_3_1,SWC_9_3_1,Soil water content,%,soil moisture,,9,3,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_9_4_1,SWC_9_4_1,Soil water content,%,soil moisture,,9,4,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,SWC_EB_5_1_1,SWC_EB_5_1_1,Soil water content,%,soil moisture,,5,1,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,SWC_EB_5_2_1,SWC_EB_5_2_1,Soil water content,%,soil moisture,,5,2,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,SWC_EB_5_3_1,SWC_EB_5_3_1,Soil water content,%,soil moisture,,5,3,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,SWC_EB_5_4_1,SWC_EB_5_4_1,Soil water content,%,soil moisture,,5,4,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TA_2_1_1,TA_2_1_1,Air temperature,degC,temperature,,2,1,1,Campbell,CS-101,-40,50,100,era5,t2m,t2m,degC,TA,Air temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TA_4_1_1,TA_4_1_1,Air temperature,degC,temperature,,4,1,1,Campbell,CS-101,-40,50,100,era5,t2m,t2m,degC,TA,Air temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TA_7_1_1,TA_7_1_1,Air temperature,degC,temperature,,7,1,1,Campbell,CS-101,-40,50,100,era5,t2m,t2m,degC,TA,Air temperature,degC,mean
UK-BUC,08/09/2023 14:00,01/01/2030 00:00,TA_BU_1_1_1_Avg,TA_BU_1_1_1_Avg,Air temperature,degC,temperature,,1,1,1,Campbell,CS-101,-40,50,100,era5,t2m,t2m,degC,TA,Air temperature,degC,mean
UK-BUC,08/09/2023 14:00,01/01/2030 00:00,TA_BU_1_1_2_Avg,TA_BU_1_1_2_Avg,Air temperature,degC,temperature,,1,1,2,Campbell,CS-101,-40,50,100,era5,t2m,t2m,degC,TA,Air temperature,degC,mean
UK-BUC,08/09/2023 14:00,01/01/2030 00:00,TA_BU_1_1_3_Avg,TA_BU_1_1_3_Avg,Air temperature,degC,temperature,,1,1,3,Campbell,CS-101,-40,50,100,era5,t2m,t2m,degC,TA,Air temperature,degC,mean
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,TA_EB_1_1_1_Avg,TA_EB_1_1_1_Avg,Air temperature,degC,temperature,,1,1,1,Campbell,CS-101,-40,50,100,era5,t2m,t2m,degC,TA,Air temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TIMESTAMP,TIMESTAMP,timestamp,,time,%Y%m%d%H%M%S,,,,,,,,,,time,time,,TIMESTAMP,timestamp,,sample
